customer_id,age,gender,country,session_duration,pages_viewed,products_viewed,cart_items,purchases,total_spent,last_login_days,preferred_device,membership,churn
93,62,Female,USA,23.478737629060973,47,3,5,4,175.11012448160773,24,Desktop,Premium,0
94,18,Female,Canada,21.549427161913417,44,6,9,0,288.67532960660293,4,Mobile,Premium,0
95,42,Male,Ghana,34.47404783535817,35,19,2,2,195.69513047957366,49,Desktop,Premium,0
96,24,Female,Ghana,30.043661984038522,21,11,4,2,162.1236594751337,48,Desktop,Basic,0
97,26,Female,Canada,36.18095840428808,5,4,0,2,175.3141154624194,25,Mobile,Basic,0
98,41,Female,Germany,31.64775004181356,38,15,1,2,177.9483530459164,51,Desktop,Basic,0
99,18,Female,USA,40.58588835815996,2,2,9,0,133.23678970368564,24,Mobile,Premium,0
100,61,Male,USA,22.59725708991246,40,15,2,0,182.1975477694571,46,Desktop,Basic,1
101,25,Male,Canada,30.581557798502377,37,17,3,4,108.8078229033051,52,Desktop,Basic,0
102,41,Female,Canada,41.09363414002514,49,2,8,0,173.33415221661974,27,Desktop,Basic,0
103,28,Male,Germany,39.09326048020673,34,7,0,2,158.71285594173085,31,Desktop,Premium,0
104,34,Male,Ghana,15.203554435499122,11,16,2,3,218.50829092398834,47,Mobile,Basic,0
105,25,Female,UK,19.788892110152787,36,5,2,4,321.1619395827987,51,Mobile,Premium,0
106,52,Female,Ghana,29.18209061295216,11,16,5,1,220.7653720467969,35,Mobile,Basic,0
107,52,Female,USA,27.65163327258723,9,19,4,2,208.25185425771411,52,Desktop,Basic,0
108,50,Female,Canada,29.34573271448085,6,2,2,2,218.70686422845552,20,Desktop,Basic,0
109,22,Female,Germany,37.96190300251846,34,15,3,2,130.9747803301908,16,Mobile,Basic,0
110,59,Male,Ghana,32.89383005002072,47,4,6,0,256.15650670078486,31,Mobile,Premium,1
111,56,Female,Germany,33.4769090301923,37,2,2,1,232.51213136292944,7,Mobile,Premium,0
112,58,Female,Ghana,36.70613568603425,32,10,8,4,196.40099331806493,18,Desktop,Premium,0
113,45,Female,USA,40.74174205145559,12,5,7,2,228.39825629550003,8,Desktop,Basic,0
114,24,Male,UK,-0.560121614649475,45,18,1,1,226.2116831162386,27,Mobile,Premium,0
115,26,Female,Germany,26.133735517619467,32,4,4,3,226.3569398258388,14,Mobile,Premium,0
116,25,Female,Germany,21.170322127402994,17,1,3,0,279.54129086271945,18,Mobile,Premium,0
117,29,Female,UK,34.753161358948525,4,18,4,2,139.3500531436771,1,Desktop,Premium,0
118,51,Male,Germany,25.378960444153446,42,6,2,1,304.8970183006466,56,Desktop,Basic,0
119,50,Female,Germany,30.758616169151217,33,14,9,1,71.7873383452989,31,Mobile,Basic,0
120,40,Female,Ghana,38.521430764025084,43,10,0,2,252.9511682813633,20,Mobile,Premium,0
121,41,Female,Ghana,23.9701406122184,48,18,7,1,213.42082547769417,6,Desktop,Premium,0
122,54,Male,UK,33.62815672712219,43,9,8,1,122.96716788544256,45,Mobile,Basic,0
123,52,Female,USA,45.53827823160428,9,12,7,4,282.3282441946437,1,Mobile,Premium,0
124,61,Female,Germany,38.316154598715805,34,10,3,0,54.91885718642749,19,Mobile,Premium,0
125,57,Female,USA,14.142226433200221,39,19,1,4,330.0178196230385,39,Desktop,Premium,0
126,39,Male,UK,27.082532987238988,30,6,3,0,380.5451522020164,55,Mobile,Basic,1
127,44,Female,UK,33.55816335276996,20,14,8,0,186.94398739304245,27,Desktop,Basic,0
128,52,Female,Ghana,35.527838562219294,39,8,9,4,117.78253151599209,56,Mobile,Basic,0
129,18,Female,Germany,27.476509617127537,23,14,8,2,153.78102926126368,16,Desktop,Premium,0
130,52,Male,Canada,23.602111090104668,41,11,4,1,278.00916168965654,14,Desktop,Premium,0
131,54,Male,UK,30.67762934848969,44,16,4,3,174.21001208332996,34,Mobile,Premium,0
132,64,Female,Germany,19.131152961050557,35,6,9,4,-34.83926571461552,7,Desktop,Premium,0
133,31,Male,USA,40.997342660445184,23,15,2,4,230.67418949137175,20,Desktop,Basic,0
134,20,Male,Ghana,48.68680973948168,48,15,5,2,271.50710487707227,31,Mobile,Basic,0
135,18,Male,USA,33.94693968450124,39,14,6,1,241.14495346012623,22,Mobile,Basic,0
136,22,Female,UK,27.67561446470886,23,12,9,4,253.8657820424631,20,Desktop,Basic,0
137,43,Female,UK,39.409009999136465,37,2,8,3,328.36183569774425,15,Mobile,Basic,0
138,31,Male,USA,37.719292243586736,23,8,6,1,183.08315599819977,25,Mobile,Premium,0
139,56,Male,UK,27.244592538945756,39,19,2,4,337.46604721172565,46,Mobile,Basic,0
140,44,Male,Germany,29.521564306502466,28,14,6,4,187.65023678357258,1,Mobile,Premium,0
141,26,Female,UK,23.904656608719037,19,5,0,0,290.132125043101,17,Mobile,Premium,0
142,32,Female,Ghana,31.6468482493597,49,9,1,0,188.60717118725086,16,Mobile,Premium,0
143,32,Male,Germany,32.98909140045248,48,13,3,4,363.06446606077446,37,Mobile,Basic,0
144,43,Male,Canada,22.19867345729304,30,9,6,2,251.83340706668594,21,Desktop,Basic,0
145,59,Male,UK,19.253236583721034,21,14,8,0,192.3062273620561,27,Mobile,Basic,0
146,30,Male,UK,16.73984587965934,24,5,4,4,104.03338276588146,56,Mobile,Basic,0
147,49,Female,Ghana,34.165346626120424,21,2,7,1,216.4970581457693,55,Mobile,Premium,0
148,56,Male,Ghana,29.88517430379894,26,7,6,3,134.45782200693483,59,Mobile,Basic,0
149,49,Female,USA,29.16425853145173,36,16,4,0,235.27999557641257,35,Mobile,Premium,1
150,21,Male,USA,34.64525922344333,26,11,2,4,252.7174298412299,24,Mobile,Premium,0
151,47,Male,USA,20.99038024311623,33,11,2,0,283.22887249372326,52,Desktop,Premium,1
152,54,Male,Ghana,19.29747264828807,36,12,5,1,243.01653204099335,51,Mobile,Basic,0
153,40,Male,USA,32.41081918968858,4,13,9,2,206.4046370008858,2,Desktop,Premium,0
154,56,Male,USA,12.713210404194434,9,8,3,4,305.96558545544315,57,Desktop,Basic,0
155,62,Female,Canada,27.410154690657755,8,16,2,1,315.2374191521021,46,Desktop,Basic,0
156,32,Male,USA,54.66446372577879,2,1,3,3,115.78342618377285,55,Desktop,Premium,0
157,60,Male,UK,16.514625371474757,29,13,2,4,340.9662246107176,53,Mobile,Premium,0
158,46,Male,Ghana,25.702576400692767,23,11,9,3,298.32369271792254,25,Mobile,Basic,0
159,53,Female,Germany,8.771071963102315,6,4,5,2,131.7508797218257,19,Mobile,Basic,0
160,30,Female,Canada,27.662719417778554,43,4,6,4,49.669266053455175,45,Desktop,Premium,0
161,49,Female,Ghana,49.6653642826531,36,15,3,4,296.35779279241285,13,Mobile,Basic,0
162,24,Female,Ghana,34.669174367904006,46,3,2,1,216.49965101019498,29,Desktop,Basic,0
163,39,Male,UK,23.86220690879025,21,19,2,0,163.57247718041177,32,Desktop,Basic,1
164,45,Male,USA,51.81410645271099,22,2,2,4,225.11411573034712,6,Mobile,Basic,0
165,19,Male,UK,12.576473904815899,9,6,8,2,294.90226169855146,56,Desktop,Premium,0
166,59,Female,USA,34.539431597570186,34,8,2,4,37.47381405511052,9,Mobile,Basic,0
167,62,Male,USA,30.64912787092937,26,17,2,4,210.09465258028777,52,Desktop,Premium,0
168,23,Male,Ghana,27.529753190895836,1,5,7,4,204.59231816154488,1,Desktop,Basic,0
169,45,Female,USA,38.07091473728845,36,2,3,4,319.71648474980555,24,Mobile,Basic,0
170,45,Female,Canada,18.180205917246994,44,12,6,2,266.2826221698813,10,Desktop,Basic,0
171,61,Female,Canada,33.12622633872329,5,5,2,1,265.5382518162605,35,Mobile,Basic,0
172,61,Male,Canada,31.856583227645164,41,10,7,0,164.49144484024407,6,Mobile,Basic,0
173,37,Male,Ghana,21.289873368862867,22,9,2,2,253.56627444040674,48,Mobile,Premium,0
174,47,Female,UK,49.499955804173176,4,8,4,2,161.18845876574863,20,Desktop,Basic,0
175,28,Male,Germany,28.18162736638361,48,1,0,3,191.30077095808508,38,Mobile,Basic,0
176,45,Female,USA,28.61349627805292,2,6,4,0,245.91100236553282,12,Mobile,Basic,0
177,42,Female,Germany,19.723228247042577,16,11,5,1,206.83058483479925,3,Mobile,Premium,0
178,56,Male,UK,28.36659548883618,16,3,6,1,225.29898008169616,55,Mobile,Basic,0
179,50,Female,UK,53.34754606818984,22,15,1,3,305.0435509592421,18,Desktop,Premium,0
180,18,Female,Ghana,27.472881400284148,43,11,1,3,170.80271345614807,21,Mobile,Basic,0
181,44,Female,Canada,35.18701943013643,1,5,8,2,116.99202435536822,35,Mobile,Premium,0
182,30,Male,Canada,39.505477319935125,15,16,9,1,127.45903496663,37,Mobile,Premium,0
183,58,Female,UK,28.18597688859904,24,7,0,1,110.04188240372598,19,Mobile,Premium,0
184,20,Female,Ghana,25.904096977162,4,6,1,1,328.5946040756238,25,Mobile,Premium,0
185,56,Female,Ghana,34.72263881226173,18,9,1,2,252.33926038265665,56,Desktop,Basic,0
186,23,Female,USA,27.587416311155998,17,7,9,1,285.6426858846309,18,Mobile,Premium,0
187,25,Female,Canada,26.681549272137357,7,3,6,4,271.30264283719333,40,Desktop,Basic,0
188,44,Female,UK,39.39889894259463,45,11,5,3,184.12776108923686,30,Mobile,Premium,0
189,26,Female,Germany,29.3057691308695,10,12,8,3,330.39102948743835,56,Desktop,Premium,0
190,54,Male,Canada,42.1323983826474,1,11,6,3,144.72786437164746,42,Mobile,Premium,0
191,50,Male,USA,29.08073311756878,2,2,2,3,360.98971577649,51,Desktop,Premium,0
192,59,Female,Ghana,16.828044416473098,49,1,2,4,209.89698012928093,42,Desktop,Premium,0
193,61,Male,UK,-4.257953528336522,22,2,0,0,343.09517329998243,53,Mobile,Basic,1
194,41,Male,Canada,11.6185155314731,32,14,7,1,116.07168501693761,34,Desktop,Premium,0
195,32,Female,Germany,13.340395337357375,29,13,0,3,165.48488168131547,10,Mobile,Basic,0
196,49,Male,USA,32.66537930827897,35,5,1,1,71.76865877888335,22,Mobile,Premium,0
197,49,Female,USA,20.286673067858615,17,2,6,1,283.379826643872,50,Desktop,Premium,0
198,41,Female,Canada,10.258686239358411,12,19,0,4,220.25752724425246,4,Desktop,Premium,0
199,58,Female,Germany,28.690943115250626,24,17,3,1,361.3289938768782,3,Desktop,Premium,0
200,29,Female,USA,19.181719328691454,30,11,8,3,161.28132865093832,49,Mobile,Basic,0
201,56,Female,UK,34.63099137923965,44,16,7,1,306.96665420454354,56,Desktop,Premium,0
202,19,Male,USA,34.38268647266829,30,18,7,4,206.39320836063044,56,Desktop,Basic,0
203,20,Female,Germany,35.4408628218318,20,8,2,3,192.4968649289321,49,Desktop,Basic,0
204,54,Male,Ghana,4.417194727058927,42,2,4,4,176.84934921863407,28,Mobile,Basic,0
205,34,Female,Ghana,30.454091263798816,7,17,3,2,132.3882197805195,22,Mobile,Basic,0
206,19,Female,Canada,28.785975999319405,42,11,7,0,229.93983349066156,12,Desktop,Basic,0
207,19,Female,Germany,17.783557202222042,38,14,6,1,216.91133890713522,49,Desktop,Basic,0
208,45,Male,USA,8.625692374635491,7,16,6,1,74.18537845817193,13,Desktop,Premium,0
209,40,Female,USA,28.91315078862574,49,15,9,1,-0.8970134788212363,41,Mobile,Basic,0
210,54,Female,Ghana,40.64116053756205,30,15,9,2,174.96027342824365,33,Desktop,Basic,0
211,49,Female,Ghana,4.182423974247264,12,3,6,0,292.9596214065199,47,Desktop,Basic,1
212,50,Female,UK,21.674791270960036,49,7,0,4,217.76568933343538,19,Mobile,Basic,0
213,18,Male,Ghana,31.31535112986163,31,12,6,2,95.78269545925554,41,Mobile,Basic,0
214,36,Female,UK,41.24919994193631,18,3,3,2,58.09232530083395,17,Desktop,Basic,0
215,19,Male,USA,26.876284858186825,46,19,2,3,292.3837062346828,47,Desktop,Premium,0
216,61,Female,UK,49.31002948030783,43,10,4,2,67.75662279968597,34,Mobile,Premium,0
217,43,Male,UK,12.04693460719783,2,8,1,2,260.7472234241693,4,Desktop,Basic,0
218,49,Male,Canada,9.83062078361052,33,16,7,1,245.52335667345022,39,Mobile,Basic,0
219,23,Female,Ghana,40.17715049723689,11,16,8,3,330.772881939699,8,Desktop,Premium,0
220,49,Female,UK,6.503757479732293,34,12,4,4,149.66805959776306,33,Desktop,Basic,0
221,21,Male,USA,34.615323363006496,16,5,2,0,275.14442645050315,1,Desktop,Premium,0
222,28,Female,Germany,27.054675615061882,35,6,9,4,311.9897502975281,5,Mobile,Premium,0
223,34,Female,UK,20.989993975600022,33,6,6,3,93.0299056719006,32,Desktop,Premium,0
224,55,Female,Ghana,25.733327915311282,21,8,0,1,210.64495723043953,40,Mobile,Basic,0
225,41,Male,Canada,17.109281063705613,20,17,9,0,196.76906881757122,1,Desktop,Premium,0
226,22,Female,USA,26.81665944583724,8,12,2,4,114.89766468396496,35,Mobile,Premium,0
227,51,Female,Canada,30.174193343548584,26,14,8,0,221.14478417041516,22,Desktop,Basic,0
228,23,Female,Germany,25.83778023553863,33,2,1,0,106.48069134650382,29,Mobile,Basic,0
229,39,Male,UK,24.150637178187296,26,19,8,0,230.57301450886456,17,Mobile,Premium,0
230,28,Female,UK,32.54136995040549,37,6,0,2,373.9007526174328,30,Desktop,Basic,0
231,33,Male,Ghana,46.595717957948295,30,18,3,3,183.6613211148111,35,Mobile,Basic,0
232,50,Female,UK,27.337965980176044,31,4,9,3,192.4086956247128,1,Desktop,Premium,0
233,26,Male,USA,38.199905050042176,33,5,5,1,313.3206638040559,4,Desktop,Basic,0
234,23,Female,Germany,20.338230019946565,11,6,6,4,300.75903403407943,9,Desktop,Premium,0
235,33,Female,Canada,16.659186991751266,41,15,2,1,150.58837128977072,45,Mobile,Basic,0
236,46,Male,Germany,34.53315387314024,5,6,8,4,255.05724540003607,32,Desktop,Premium,0
237,20,Male,UK,27.6646545641665,2,8,3,0,-36.210369400819445,5,Desktop,Basic,0
238,37,Male,Canada,41.29497341643083,13,9,4,4,119.67053435900519,14,Desktop,Premium,0
239,53,Female,Ghana,43.254235156937604,18,6,7,4,285.5905043737777,51,Mobile,Basic,0
240,36,Female,Germany,38.390848424274864,26,2,2,0,159.18200672804102,26,Desktop,Premium,0
241,43,Female,Canada,38.17358330400184,25,16,7,1,183.97344987175887,23,Desktop,Basic,0
242,20,Female,Canada,-4.253630855929742,44,1,0,4,126.05436503914329,46,Desktop,Basic,0
243,36,Male,Canada,34.44522499567029,14,16,7,1,113.22190101667601,22,Desktop,Premium,0
244,37,Female,USA,38.628798294650046,5,1,9,1,0.3055982418906922,27,Mobile,Basic,0
245,49,Female,Germany,17.28217397838257,42,1,7,3,170.94796208515456,25,Desktop,Premium,0
246,24,Female,Canada,30.087725115897864,2,7,5,0,237.24882752227217,36,Desktop,Basic,1
247,58,Female,Germany,19.572717856577633,4,16,4,0,219.74802421241066,4,Desktop,Basic,0
248,50,Female,Canada,40.27510594800878,12,17,8,2,133.43871402876968,32,Mobile,Premium,0
249,57,Female,Ghana,20.440019349235023,11,16,5,1,85.6806609989785,9,Desktop,Basic,0
250,56,Female,Ghana,22.07137893063353,4,16,0,2,170.0898667165394,2,Desktop,Premium,0
251,35,Male,Ghana,25.359498339439845,43,6,5,0,93.68253148398382,42,Desktop,Basic,1
252,57,Female,UK,52.49410221900274,9,18,0,0,138.5943481691087,50,Desktop,Premium,1
253,18,Female,Canada,40.04672270076196,10,3,5,2,210.32845923378295,57,Desktop,Basic,0
254,28,Female,UK,46.126038589138844,27,8,2,0,130.27949127359676,39,Desktop,Basic,1
255,45,Female,Germany,11.86880144519759,6,4,5,0,302.90518952785334,53,Mobile,Premium,1
256,42,Male,UK,17.307052538274334,15,4,5,3,116.33469451332249,46,Mobile,Basic,0
257,40,Male,Germany,43.38579643717697,42,17,0,4,151.61753711745828,53,Desktop,Basic,0
258,48,Male,Germany,12.39838851773326,31,5,8,3,267.9784796497695,25,Mobile,Premium,0
259,47,Male,Germany,23.28315829150334,22,14,7,4,255.23395325138597,47,Mobile,Basic,0
260,59,Male,UK,50.553413406278565,6,15,1,3,241.32960374355133,10,Mobile,Premium,0
261,52,Male,Canada,20.3653526969531,33,12,1,3,148.95614645254554,37,Desktop,Basic,0
262,24,Female,UK,11.790025472847748,29,13,4,1,246.73026571673574,25,Desktop,Basic,0
263,33,Male,Canada,30.47474504376328,21,18,9,2,263.3651639940887,40,Mobile,Premium,0
264,43,Male,Canada,12.20257025838757,30,14,1,3,235.33528659088236,54,Desktop,Premium,0
265,19,Female,Germany,42.37250072972916,21,19,0,1,197.41095120733047,53,Mobile,Basic,0
266,18,Male,UK,21.05141250510306,36,7,1,3,246.1675126349864,29,Desktop,Premium,0
267,29,Female,Canada,19.0476097108808,22,6,4,2,193.93800847264313,37,Mobile,Basic,0
268,22,Female,Ghana,30.29382352664002,46,5,9,1,232.31425353623183,5,Desktop,Basic,0
269,54,Male,Canada,25.955621475245437,20,4,6,4,205.9691178425339,14,Desktop,Premium,0
270,49,Female,Ghana,32.5234919368082,22,18,4,2,79.14489993177264,33,Mobile,Premium,0
271,26,Male,UK,35.215044494027005,40,14,0,0,153.3019473332868,27,Desktop,Premium,0
272,58,Male,UK,27.827122565231058,11,16,6,1,366.4368617150775,5,Desktop,Premium,0
273,52,Female,UK,18.385513900139685,47,14,5,0,45.00762594442409,51,Mobile,Basic,1
274,36,Female,Canada,37.30508285064765,31,5,6,1,324.1789355131474,54,Desktop,Basic,0
275,33,Male,USA,23.06590181897672,40,11,1,4,250.04233949603653,57,Mobile,Premium,0
276,20,Female,Canada,21.309110254942983,13,12,4,1,202.73786557522126,44,Mobile,Basic,0
277,37,Female,Canada,31.42660615156051,18,18,7,3,65.56698306946896,15,Mobile,Premium,0
278,41,Male,Germany,10.713375807443285,22,4,6,0,199.90803565280976,3,Mobile,Basic,0
279,50,Male,Germany,33.90876033147053,17,13,5,0,140.29414872236293,1,Desktop,Premium,0
280,41,Female,Canada,31.957620038841892,38,13,5,1,295.11828173341894,24,Desktop,Basic,0
281,28,Male,Ghana,41.2181964027302,25,4,0,3,146.66408102852105,12,Mobile,Basic,0
282,25,Male,Germany,24.996078604156065,32,7,0,3,177.93378416768564,45,Desktop,Premium,0
283,53,Male,Canada,43.24831532022267,15,2,6,1,219.69441870706498,14,Desktop,Basic,0
284,55,Male,USA,35.29642900501876,13,18,2,2,148.43773514914545,57,Desktop,Premium,0
285,57,Male,Ghana,29.73210825556761,26,6,5,4,276.6872254955382,42,Desktop,Premium,0
286,37,Male,UK,48.16695925506038,11,16,4,1,176.32879027248066,20,Mobile,Basic,0
287,52,Male,Canada,30.952127308467837,13,3,2,3,49.53289592156514,58,Desktop,Basic,0
288,42,Female,Canada,24.816326723723492,33,15,5,4,212.0613331352945,14,Mobile,Basic,0
289,52,Male,Ghana,31.238399930714913,37,10,2,1,264.5899315053049,14,Mobile,Premium,0
290,42,Female,Germany,24.61030832886017,38,9,7,4,315.0424709536371,45,Desktop,Basic,0
